address,location,vulnerability,swc_id,severity,vulnerable_contract,vulnerable_function,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x23d58bcf66f2890e4ab48039b9c2f222963cf594.sol,542.0,Unprotected Ether Withdrawal,105,High,July18,withdrawStuckETH,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x0753a0ef9e2EdB4b8C91568BdB71857b5f69E600.sol,537.0,Unprotected Ether Withdrawal,105,High,SakamotoRyoma,withdrawStuckETH,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x9be10fe94f446ebf14d834d0f0228c8b28a328e3.sol,36.0,Unprotected Ether Withdrawal,105,High,helpInvestorsJoin,withdrawFunds,0.8.7,SWC-105
/bdata2/sc/dataset/mainnet/0x6ff9e79dc53ad068825a1036bc33f753af58f336.sol,313.0,Unprotected Ether Withdrawal,105,High,TokenVendor,releaseFunds,0.8.4,SWC-105
/bdata2/sc/dataset/mainnet/0x6ff9e79dc53ad068825a1036bc33f753af58f336.sol,313.0,Unprotected Ether Withdrawal,105,High,TokenVendor,kill,0.8.4,SWC-105
/bdata2/sc/dataset/mainnet/0x0cdFe188fb9EA53772cE8df757c6566cd403B105.sol,,Unprotected Ether Withdrawal,105,High,WETHelper,withdraw,0.7.6,SWC-105
/bdata2/sc/dataset/mainnet/0x6987c8cc105427dd452d75b4cda6ab5a6caf9549.sol,193.0,Unprotected Ether Withdrawal,105,High,Guess3,withdrawAll,0.8.14,SWC-105
/bdata2/sc/dataset/mainnet/0x6987c8cc105427dd452d75b4cda6ab5a6caf9549.sol,193.0,Unprotected Ether Withdrawal,105,High,Guess3,withdrawSome,0.8.14,SWC-105
/bdata2/sc/dataset/mainnet/0xF7FaB962B77bd518Efd8c5A8103cE711075379Dd.sol,414.0,Unprotected Ether Withdrawal,105,High,Gocha,withdraw,0.8.7,SWC-105
/bdata2/sc/dataset/mainnet/0x80097f1c9E4A25ffCfEbe93b427258252cD1cE68.sol,537.0,Unprotected Ether Withdrawal,105,High,POMPIINU,withdrawStuckETH,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0x5366E5E4431221518d6beE55De29de4fBfe52Cf6.sol,537.0,Unprotected Ether Withdrawal,105,High,Anomaly,withdrawStuckETH,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0xa4cc96bec29b1c7750230699d66d3e41eac3856c.sol,28.0,Unprotected Ether Withdrawal,105,High,ChainList,Refund,0.8.11,SWC-105
/bdata2/sc/dataset/mainnet/0x3781f35fb5c6539bb6eb3b8d5bed3f1863ed4da3.sol,158.0,Unprotected Ether Withdrawal,105,High,FundsLock,withdraw,0.8.7,SWC-105
/bdata2/sc/dataset/mainnet/0xC4EED60e9EBb694074DFD19e8958b5ddF4a7ABB4.sol,254.0,Unprotected Ether Withdrawal,105,High,BotWeTrustDonation,withdraw,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0xCc3Ed09c181b0A99C1d3123333Fe356309565Ca6.sol,537.0,Unprotected Ether Withdrawal,105,High,TOSHIZO,withdrawStuckETH,0.8.9,SWC-105
/bdata2/sc/dataset/mainnet/0xE5e1a3255ad0CF8D2C1a214327e516dfE33c7B72.sol,70.0,Unprotected Ether Withdrawal,105,High,PaymentReceiver,withdraw,0.8.14,SWC-105
/bdata2/sc/dataset/mainnet/0x06cC98b8Ca16e0C0ce93799422930CF2b8Bf39b3.sol,537.0,Unprotected Ether Withdrawal,105,High,glitch,withdrawStuckETH,0.8.9,SWC-105
