address,location,vulnerability,impact,vulnerable_elements_type,vulnerable_elements_name,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x803838b44a07b1948abb8373c1eabe3e0152b726.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x59ab8e587acb222450d30138774c6efcbf515245.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x8be9b5456079737f3aa97fbe7b0d77a5ee74822f.sol,,suicidal,High,,,0.7.0,SWC-106
/bdata2/sc/dataset/mainnet/0x6D8115daa3fFc361e3229E4dB4A17f724441D1af.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x2b9609befee6c1b26c1409bae37d76e6d499414a.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0xF244176246168F24e3187f7288EdbCA29267739b.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xd8c745572e267a4f4dfd519aaf9f46480c5f20ff.sol,,suicidal,High,,,0.5.15,SWC-106
/bdata2/sc/dataset/mainnet/0xEBDfAc2ADA81561A36d65B1f12Fc5a8a631Bb0A3.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x5c64ea24b794353b06e71e49d7372f5c87411f44.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x0fd692e0d7629f169230c513a52934b70f1911bc.sol,,suicidal,High,,,v0.4.15,SWC-106
/bdata2/sc/dataset/mainnet/0x1F905c8D5b1dA0E062717CdD82691c521D6A0EC8.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0x39bfe3034d8e32f8e325b386b93037b206617f07.sol,,suicidal,High,,,0.8.11,SWC-106
/bdata2/sc/dataset/mainnet/0xA1dd0a9d0254aCAe1e5e1F38383528a442c34296.sol,,suicidal,High,,,0.5.12,SWC-106
/bdata2/sc/dataset/mainnet/0xc45a3f5c584592ec595b630f5eca707a727abead.sol,,suicidal,High,,,0.8.7,SWC-106
/bdata2/sc/dataset/mainnet/0x5fa50ba36ac2792caec10d06f0879f8d547cd893.sol,,suicidal,High,,,0.8.17,SWC-106
/bdata2/sc/dataset/mainnet/0x10bb4a34bd28e38c42a9f02fd6e9804193dceee9.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x46E1F8E746ee9037fA42b3a718dcE6c36CB3f16f.sol,,suicidal,High,,,0.8.9,SWC-106
/bdata2/sc/dataset/mainnet/0xc5d8968bc4f5a0ea63efd1688997fa9c6867c4e0.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xb24e9e3dc822daa8ace9af9c9b2ff8ab8348bc93.sol,,suicidal,High,,,v0.4.13,SWC-106
/bdata2/sc/dataset/mainnet/0xb37f4261eD83Eca882AdeEEfEcb43d50e4469f00.sol,,suicidal,High,,,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x9f352d623371eda3a28f9d9c8ca73a5124f2d9fc.sol,,suicidal,High,,,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0xea13bfa584e6d7e4c8409a1178805a367821e2f6.sol,,suicidal,High,,,v0.4.20,SWC-106
/bdata2/sc/dataset/mainnet/0x34afa7ff9a8eb4d8e61145ca81e2d0dab7b03662.sol,,suicidal,High,,,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0x9374035a57a9ef323199c6a1ac352c679d4208f8.sol,,suicidal,High,,,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0x2101ba900918345003585b0a17de91570609d706.sol,,suicidal,High,,,v0.4.11,SWC-106
/bdata2/sc/dataset/mainnet/0xfD8f94db9915C3f3b6e6A3F244A06CCc586B07d8.sol,,suicidal,High,,,0.8.1,SWC-106
/bdata2/sc/dataset/mainnet/0x3dc9b2febb6ef9d70d9fb3fe0773305fb3eb6bf6.sol,,suicidal,High,,,0.6.12,SWC-106
/bdata2/sc/dataset/mainnet/0xbaa12e5f0c7183261f0d4ba3a7c7a48526eaf016.sol,,suicidal,High,,,0.8.13,SWC-106
/bdata2/sc/dataset/mainnet/0x987a4a425190f5edfee695db77a2c8212f6df16f.sol,,suicidal,High,,,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xF7fA8aF7d17D81b3d4E63538a388b56faf526BB6.sol,,suicidal,High,,,0.7.6,SWC-106
