address,location,filepath,vulnerability,severity,column,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0xfd69d23f9cd9021404f64933f532b0f78618d35d.sol,1345,/bdata2/sc/dataset/mainnet/0xfd69d23f9cd9021404f64933f532b0f78618d35d.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xffc42ae9681e962b27f525e771e6087790b5f281.sol,549,/bdata2/sc/dataset/mainnet/0xffc42ae9681e962b27f525e771e6087790b5f281.sol,SOLIDITY_TX_ORIGIN,2,8,0.8.6,SWC-115
/bdata2/sc/dataset/mainnet/0x05ce4aa3a14b7495d7ce9b8e9db867c96415fc9f.sol,1353,/bdata2/sc/dataset/mainnet/0x05ce4aa3a14b7495d7ce9b8e9db867c96415fc9f.sol,SOLIDITY_TX_ORIGIN,2,61,0.8.0,SWC-115
/bdata2/sc/dataset/mainnet/0x05ce4aa3a14b7495d7ce9b8e9db867c96415fc9f.sol,1354,/bdata2/sc/dataset/mainnet/0x05ce4aa3a14b7495d7ce9b8e9db867c96415fc9f.sol,SOLIDITY_TX_ORIGIN,2,53,0.8.0,SWC-115
/bdata2/sc/dataset/mainnet/0xbcbcffc799345be7541c92b14d9886813080d332.sol,324,/bdata2/sc/dataset/mainnet/0xbcbcffc799345be7541c92b14d9886813080d332.sol,SOLIDITY_TX_ORIGIN,2,30,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xbcbcffc799345be7541c92b14d9886813080d332.sol,364,/bdata2/sc/dataset/mainnet/0xbcbcffc799345be7541c92b14d9886813080d332.sol,SOLIDITY_TX_ORIGIN,2,13,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0xb29728E32517C327AC88712cd0666Ec4Bf894bea.sol,744,/bdata2/sc/dataset/mainnet/0xb29728E32517C327AC88712cd0666Ec4Bf894bea.sol,SOLIDITY_TX_ORIGIN,2,61,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xb29728E32517C327AC88712cd0666Ec4Bf894bea.sol,745,/bdata2/sc/dataset/mainnet/0xb29728E32517C327AC88712cd0666Ec4Bf894bea.sol,SOLIDITY_TX_ORIGIN,2,53,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xd26ebecfa9f0dc476589626d0f220f7e8ed27e2c.sol,1344,/bdata2/sc/dataset/mainnet/0xd26ebecfa9f0dc476589626d0f220f7e8ed27e2c.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x1476B9B8ECb038AFb6BEC7f8cD2FCF5263dF3539.sol,741,/bdata2/sc/dataset/mainnet/0x1476B9B8ECb038AFb6BEC7f8cD2FCF5263dF3539.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.4,SWC-115
/bdata2/sc/dataset/mainnet/0x1476B9B8ECb038AFb6BEC7f8cD2FCF5263dF3539.sol,750,/bdata2/sc/dataset/mainnet/0x1476B9B8ECb038AFb6BEC7f8cD2FCF5263dF3539.sol,SOLIDITY_TX_ORIGIN,2,20,0.8.4,SWC-115
/bdata2/sc/dataset/mainnet/0xC71a0306a0A628C616DAC42097bDc21EcDBc5d9d.sol,2221,/bdata2/sc/dataset/mainnet/0xC71a0306a0A628C616DAC42097bDc21EcDBc5d9d.sol,SOLIDITY_TX_ORIGIN,2,57,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0xC71a0306a0A628C616DAC42097bDc21EcDBc5d9d.sol,2222,/bdata2/sc/dataset/mainnet/0xC71a0306a0A628C616DAC42097bDc21EcDBc5d9d.sol,SOLIDITY_TX_ORIGIN,2,39,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x77cdf20e2442cd38c0a704e370fe8a75107abd95.sol,302,/bdata2/sc/dataset/mainnet/0x77cdf20e2442cd38c0a704e370fe8a75107abd95.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.10,SWC-115
/bdata2/sc/dataset/mainnet/0x22b23f735e28b0eb0fea4356bf93e6a1034f1bf1.sol,255,/bdata2/sc/dataset/mainnet/0x22b23f735e28b0eb0fea4356bf93e6a1034f1bf1.sol,SOLIDITY_TX_ORIGIN,2,24,0.8.10,SWC-115
/bdata2/sc/dataset/mainnet/0x366556e529063829ca066dd5877a76414c0bc7ee.sol,924,/bdata2/sc/dataset/mainnet/0x366556e529063829ca066dd5877a76414c0bc7ee.sol,SOLIDITY_TX_ORIGIN,2,31,0.8.9,SWC-115
/bdata2/sc/dataset/mainnet/0x2e006CC67E282E1c92692E796287E269665C1741.sol,937,/bdata2/sc/dataset/mainnet/0x2e006CC67E282E1c92692E796287E269665C1741.sol,SOLIDITY_TX_ORIGIN,2,27,0.8.11,SWC-115
/bdata2/sc/dataset/mainnet/0x8f8f69e1d3edc5b72d212ab4f2d968dfa255a2e2.sol,34,/bdata2/sc/dataset/mainnet/0x8f8f69e1d3edc5b72d212ab4f2d968dfa255a2e2.sol,SOLIDITY_TX_ORIGIN,2,42,v0.4.24,SWC-115
/bdata2/sc/dataset/mainnet/0xe31c00110D827C29370f655513707feeC02c25eD.sol,49,/bdata2/sc/dataset/mainnet/0xe31c00110D827C29370f655513707feeC02c25eD.sol,SOLIDITY_TX_ORIGIN,2,29,0.5.10,SWC-115
/bdata2/sc/dataset/mainnet/0xe31c00110D827C29370f655513707feeC02c25eD.sol,60,/bdata2/sc/dataset/mainnet/0xe31c00110D827C29370f655513707feeC02c25eD.sol,SOLIDITY_TX_ORIGIN,2,29,0.5.10,SWC-115
/bdata2/sc/dataset/mainnet/0x2f848984984d6c3c036174ce627703edaf780479.sol,871,/bdata2/sc/dataset/mainnet/0x2f848984984d6c3c036174ce627703edaf780479.sol,SOLIDITY_TX_ORIGIN,2,44,0.8.16,SWC-115
/bdata2/sc/dataset/mainnet/0xfee90aae42d4ee7c36989f11bf8b0085dab86ad0.sol,241,/bdata2/sc/dataset/mainnet/0xfee90aae42d4ee7c36989f11bf8b0085dab86ad0.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0xfee90aae42d4ee7c36989f11bf8b0085dab86ad0.sol,245,/bdata2/sc/dataset/mainnet/0xfee90aae42d4ee7c36989f11bf8b0085dab86ad0.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x03160a9d8f15bf318bfea4dc60280453436ba831.sol,1186,/bdata2/sc/dataset/mainnet/0x03160a9d8f15bf318bfea4dc60280453436ba831.sol,SOLIDITY_TX_ORIGIN,2,16,0.8.7,SWC-115
/bdata2/sc/dataset/mainnet/0x32B04416efB1664ccbe816687d0F001776d8edEE.sol,240,/bdata2/sc/dataset/mainnet/0x32B04416efB1664ccbe816687d0F001776d8edEE.sol,SOLIDITY_TX_ORIGIN,2,55,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0x32B04416efB1664ccbe816687d0F001776d8edEE.sol,244,/bdata2/sc/dataset/mainnet/0x32B04416efB1664ccbe816687d0F001776d8edEE.sol,SOLIDITY_TX_ORIGIN,2,51,0.8.17,SWC-115
/bdata2/sc/dataset/mainnet/0xc996bc72bdaebf3abc9e48803cddf4179504dbb9.sol,2476,/bdata2/sc/dataset/mainnet/0xc996bc72bdaebf3abc9e48803cddf4179504dbb9.sol,SOLIDITY_TX_ORIGIN,2,25,0.8.17,SWC-115
