address,location,filepath,vulnerability,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x79617c40431abdcc411093aa0c442843b42c84b9.sol,49.0,/bdata2/sc/dataset/mainnet_bytecode/0x79617c40431abdcc411093aa0c442843b42c84b9.rt.hex,UnsecuredValueSend,0.8.7,SWC-105
/bdata2/sc/dataset/mainnet/0xbf8511ba8c5f934a2dfffe67a5dfcd781e59c4ce.sol,264.0,/bdata2/sc/dataset/mainnet_bytecode/0xbf8511ba8c5f934a2dfffe67a5dfcd781e59c4ce.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x183baee572249ab21999034277c8c64cccceacfa.sol,266.0,/bdata2/sc/dataset/mainnet_bytecode/0x183baee572249ab21999034277c8c64cccceacfa.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x629540f0955778be6b7165a602f9f25714be234a.sol,264.0,/bdata2/sc/dataset/mainnet_bytecode/0x629540f0955778be6b7165a602f9f25714be234a.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x98bf0ae29861cbcee9f8fbd3751ae15468496514.sol,261.0,/bdata2/sc/dataset/mainnet_bytecode/0x98bf0ae29861cbcee9f8fbd3751ae15468496514.rt.hex,UnsecuredValueSend,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xfc909295ab4d59e0e1b7e3d49228b543e2fccf2f.sol,265.0,/bdata2/sc/dataset/mainnet_bytecode/0xfc909295ab4d59e0e1b7e3d49228b543e2fccf2f.rt.hex,UnsecuredValueSend,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0xbB51397FB8d3B91a08EFF3c34d5c869C1D149Ec5.sol,31.0,/bdata2/sc/dataset/mainnet_bytecode/0xbB51397FB8d3B91a08EFF3c34d5c869C1D149Ec5.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x38dab6446e7550647dec06f54156a3a36d48dd13.sol,265.0,/bdata2/sc/dataset/mainnet_bytecode/0x38dab6446e7550647dec06f54156a3a36d48dd13.rt.hex,UnsecuredValueSend,v0.4.22,SWC-105
/bdata2/sc/dataset/mainnet/0xa589fb6491d807d95b6a3750d9faf60a23df78d3.sol,264.0,/bdata2/sc/dataset/mainnet_bytecode/0xa589fb6491d807d95b6a3750d9faf60a23df78d3.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x20dd176f5bb83e341e499ebfb65817e8ed891e95.sol,127.0,/bdata2/sc/dataset/mainnet_bytecode/0x20dd176f5bb83e341e499ebfb65817e8ed891e95.rt.hex,UnsecuredValueSend,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0x277a3174e4e1e051f287b6fefd184f7cb28441d9.sol,127.0,/bdata2/sc/dataset/mainnet_bytecode/0x277a3174e4e1e051f287b6fefd184f7cb28441d9.rt.hex,UnsecuredValueSend,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0xad85eca1a79b3ebf41b8c64e05a6ce8d7a2bf638.sol,127.0,/bdata2/sc/dataset/mainnet_bytecode/0xad85eca1a79b3ebf41b8c64e05a6ce8d7a2bf638.rt.hex,UnsecuredValueSend,0.8.6,SWC-105
/bdata2/sc/dataset/mainnet/0x8b29b70b2cd8fdd891c1d0cd5808fb92781ba90b.sol,168.0,/bdata2/sc/dataset/mainnet_bytecode/0x8b29b70b2cd8fdd891c1d0cd5808fb92781ba90b.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0xfb0513602b08ede66c28c128ece6a2f11161f17f.sol,189.0,/bdata2/sc/dataset/mainnet_bytecode/0xfb0513602b08ede66c28c128ece6a2f11161f17f.rt.hex,UnsecuredValueSend,v0.4.24,SWC-105
/bdata2/sc/dataset/mainnet/0x354605ccf304d1b0f908a0f582ecddaba2d883a2.sol,317.0,/bdata2/sc/dataset/mainnet_bytecode/0x354605ccf304d1b0f908a0f582ecddaba2d883a2.rt.hex,UnsecuredValueSend,v0.4.18,SWC-105
/bdata2/sc/dataset/mainnet/0x025cd28d7ef83e1c2ffe511d5f9290d54ba5dcf0.sol,294.0,/bdata2/sc/dataset/mainnet_bytecode/0x025cd28d7ef83e1c2ffe511d5f9290d54ba5dcf0.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0xac58b329e7627e3685a75c475d79787576803c07.sol,238.0,/bdata2/sc/dataset/mainnet_bytecode/0xac58b329e7627e3685a75c475d79787576803c07.rt.hex,UnsecuredValueSend,v0.4.24,SWC-105
/bdata2/sc/dataset/mainnet/0xf0ac8c115cc9234461d5445d13df66ac62f8464c.sol,152.0,/bdata2/sc/dataset/mainnet_bytecode/0xf0ac8c115cc9234461d5445d13df66ac62f8464c.rt.hex,UnsecuredValueSend,v0.4.24,SWC-105
/bdata2/sc/dataset/mainnet/0xa80013dd80b21bcad3d3eed1d514cda361c40613.sol,163.0,/bdata2/sc/dataset/mainnet_bytecode/0xa80013dd80b21bcad3d3eed1d514cda361c40613.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x688dc3f750ae8ea87372ed31b6f3141c86a6e01f.sol,260.0,/bdata2/sc/dataset/mainnet_bytecode/0x688dc3f750ae8ea87372ed31b6f3141c86a6e01f.rt.hex,UnsecuredValueSend,v0.4.24,SWC-105
/bdata2/sc/dataset/mainnet/0x97967c25f5a0de5cdc3c9d687ec3036c7b15252f.sol,504.0,/bdata2/sc/dataset/mainnet_bytecode/0x97967c25f5a0de5cdc3c9d687ec3036c7b15252f.rt.hex,UnsecuredValueSend,v0.4.23,SWC-105
/bdata2/sc/dataset/mainnet/0x21adea9cae9315b037dc6403af64f3d54fce3223.sol,805.0,/bdata2/sc/dataset/mainnet_bytecode/0x21adea9cae9315b037dc6403af64f3d54fce3223.rt.hex,UnsecuredValueSend,v0.4.20,SWC-105
/bdata2/sc/dataset/mainnet/0x6f52872664a210f50509e85e6e6ff3dc7e303537.sol,212.0,/bdata2/sc/dataset/mainnet_bytecode/0x6f52872664a210f50509e85e6e6ff3dc7e303537.rt.hex,UnsecuredValueSend,0.4.24,SWC-105
