address,location,vulnerability,information,compiler,SWC_ID
/bdata2/sc/dataset/mainnet/0x56853ab9006e0712b05c68b586372fcdde5236b9.sol,91,KA,selfdestruct(owner);,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x92812526ebc2f4df9e0b77db74da0803b8f023fa.sol,415,KA,selfdestruct(beneficiary);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xc99f6077fea33661de0c54b8f7bd9b813a2ca45e.sol,110,KA,selfdestruct(ownerAddress);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0xd9c58ef8afcfe2df9884724de1614205a7b5f3f5.sol,356,KA,selfdestruct(creator);,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x28e78093df6d370ca9ea1ac85668d8a097f09087.sol,487,KA,selfdestruct(address(msg.sender));,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x5c545ca7f9d34857664fdce6adc22edcf1d5061f.sol,187,KA,selfdestruct(beneficiary);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x517c8bbb18d69d7d8f059175f612d556670b22c3.sol,136,KA,selfdestruct(owner);,v0.4.20,SWC-106
/bdata2/sc/dataset/mainnet/0x2eab9f28bf00d27fee60bb889f23fc1551ec3c79.sol,769,KA,selfdestruct(_owner);,0.7.6,SWC-106
/bdata2/sc/dataset/mainnet/0x837e2f52db5017316adee47aa171d56e2c8af2af.sol,203,KA,selfdestruct(owner);,v0.4.25,SWC-106
/bdata2/sc/dataset/mainnet/0x9a12dde694ff21b71f075799fbc117c556b0205d.sol,397,KA,selfdestruct(address(this));,v0.5.2,SWC-106
/bdata2/sc/dataset/mainnet/0xca2580de257777d86ce57432dafcee87f9eb991b.sol,69,KA,suicide(msg.sender);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0xfa649bffcd1a16a68e0b16755537fe6842cab119.sol,158,KA,selfdestruct(owner);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0xdccc53ca8263e79548aff6aa81ccf1c42e2c1a89.sol,251,KA,selfdestruct(addrCommission);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x645B5d6CdC4e577619d6a77352c34c7774b185F6.sol,302,KA,selfdestruct(owner);,v0.4.16,SWC-106
/bdata2/sc/dataset/mainnet/0x2733fc7f6a5d5be13b1ffbcfcbcba83241e819c6.sol,169,KA,selfdestruct(_owner_of_contract_resolver);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0xc4649d4bd7c3fad5bd8942c96195457e22870a74.sol,179,KA,selfdestruct(owner);,0.6.2,SWC-106
/bdata2/sc/dataset/mainnet/0xe8c7a44ab69443180024128f7a79a5b470172685.sol,437,KA,selfdestruct(address(msg.sender));,0.8.0,SWC-106
/bdata2/sc/dataset/mainnet/0xb9b2b770e023bbf0b9ddae53a09e3b03ce0f685f.sol,298,KA,selfdestruct(owner);,v0.4.24,SWC-106
/bdata2/sc/dataset/mainnet/0x655f1cb6616d7f0550007498113e72d7d5c5d4bb.sol,504,KA,selfdestruct(creatorAddress);,v0.4.19,SWC-106
/bdata2/sc/dataset/mainnet/0x8c2d1d6259afd282ada6812d040f7173d83873ef.sol,95,KA,selfdestruct(_to);,v0.4.21,SWC-106
/bdata2/sc/dataset/mainnet/0x415f306a0628d35183f42d0607cd03fcb71d1e1f.sol,73,KA,selfdestruct(owner);,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0x415f306a0628d35183f42d0607cd03fcb71d1e1f.sol,76,KA,selfdestruct(_recipient);,v0.4.18,SWC-106
/bdata2/sc/dataset/mainnet/0xf01b26626550448606de2b6e7eeda1216d9cd239.sol,293,KA,selfdestruct(msg.sender);,v0.4.22,SWC-106
