address,vulnerability,compiler,SWC_ID
0xC1b97aB9eF18EeE338a381c6f74470AA5C567283,AccessibleSelfdestruct,0.8.10,SWC-106
0xC1b97aB9eF18EeE338a381c6f74470AA5C567283,TaintedValueSend,0.8.10,SWC-105
0x499cE25DF2690fea77467e835E0ECE7e047D7F1f,AccessibleSelfdestruct,0.8.10,SWC-106
0x9172c52bf412de76e080bd595f8f8c55f0ff867c,AccessibleSelfdestruct,0.8.11,SWC-106
0xce4e591c738a128a5e1dda6beb840d17c5d831f9,TaintedValueSend,0.8.7,SWC-105
0xc907ea25e5183eaa41d4737421928163174d81ce,TaintedValueSend,0.8.11,SWC-105
0xab88d11ed200b12b04390fa1bc8fc1c343f4b2e9,TaintedValueSend,0.8.7,SWC-105
0xaAECF1DE2e56a27b5c182a093903054f92ab8226,TaintedValueSend,0.8.10,SWC-105
0xf29900Bb8F0f12726d4Ec5F7D511ebC44be06E09,TaintedValueSend,0.8.5,SWC-105
0xcA49e64FE1FE8be40ED30F682edA1b27a6c8611c,AccessibleSelfdestruct,0.8.10,SWC-106
0x53232B23637A9fb9233CbD47d72Da78D5A0068b3,TaintedValueSend,0.8.10,SWC-105
0x45F17B18134B4398468A5bcdCdf22f0e1cAbEad5,AccessibleSelfdestruct,0.7.6,SWC-106
0x45F17B18134B4398468A5bcdCdf22f0e1cAbEad5,TaintedValueSend,0.7.6,SWC-105
0x8F92e7353b180937895E0C5937d616E8ea1A2Bb9,TaintedValueSend,0.7.0,SWC-105
0x7046DcB2d907b4d4641f29f64EbC1D2B95785B76,TaintedValueSend,0.8.4,SWC-105
0x74a81F84268744a40FEBc48f8b812a1f188D80C3,TaintedValueSend,0.8.15,SWC-105
0xA58f22e0766B3764376c92915BA545d583c19DBc,TaintedValueSend,0.8.4,SWC-105
0xE5f72FaE8BFc4140CcAd16AEc92215a0a8A75EC1,TaintedValueSend,0.7.0,SWC-105
0x245f7e5439025b76D500ca921D1755b018d607A7,TaintedValueSend,0.8.11,SWC-105
0x42cC9188E95cef19Ca388758a1a74Fa9363ee4f3,TaintedValueSend,0.6.12,SWC-105
0x845644CaC0211cac37457D82FE8D44Ea4B4F8d49,TaintedValueSend,0.8.10,SWC-105
0x01ed344757aecb389a38f0431025f4168d09f0f4,TaintedValueSend,0.5.11,SWC-105
0x278cdd6847ef830c23cac61c17eab837fea1c29a,TaintedValueSend,0.6.4,SWC-105
0x84e34fD82FC368F1a072075114AdC4b552a7a1F4,TaintedValueSend,0.7.1,SWC-105
0x880cecbc56f48bce5e0ef4070017c0a4270f64ed,TaintedValueSend,0.6.7,SWC-105
0x88a77b8ff53329f88b8b6f9e29835fec287349e0,TaintedValueSend,0.6.7,SWC-105
0x8c5124fB452098d8Ba520111c5a9b357aDcC9BCc,TaintedValueSend,0.8.6,SWC-105
0x783c649424e89c58727770f11312b2f54bc01e38,AccessibleSelfdestruct,0.8.17,SWC-106
0xA9416Ce1dBDE8D331210C07B5C253D94ee4cC3Fd,AccessibleSelfdestruct,0.6.12,SWC-106
0xA9416Ce1dBDE8D331210C07B5C253D94ee4cC3Fd,TaintedSelfdestruct,0.6.12,SWC-105
0x5825C125A20d233cF83d464B2047f8E81B5AC711,TaintedValueSend,0.6.11,SWC-105
0x48d9eac690ba14e055af890cc33e17e2cbc0a37a,TaintedValueSend,v0.4.25,SWC-105
0x8b71843e8aec78ec376cbb460e218646f8fa8e80,AccessibleSelfdestruct,0.7.6,SWC-106
0x3eb82f2ed4d992dc0bed328214a0907250f4ec82,TaintedSelfdestruct,0.8.3,SWC-105
0x3eb82f2ed4d992dc0bed328214a0907250f4ec82,AccessibleSelfdestruct,0.8.3,SWC-106
0x9bcc5d31a032e1d6f815896ac7841d2f44322324,TaintedValueSend,0.4.25,SWC-105
0xde2667febd1499b698a15de4a01b991a30afae59,AccessibleSelfdestruct,0.8.7,SWC-106
0x4c36158d4f46469b0a2fd852340e3115443e7e09,TaintedSelfdestruct,0.8.3,SWC-105
0x4c36158d4f46469b0a2fd852340e3115443e7e09,AccessibleSelfdestruct,0.8.3,SWC-106
0x79C7c8298720123d0cA35D8C14753D407b60E32c,TaintedValueSend,0.8.9,SWC-105
