Tool,SWC_ID,Compiler,Count,Ratio
ethainter,SWC-107,4,0,0.0
ethainter,SWC-107,5,0,0.0
ethainter,SWC-107,6,0,0.0
ethainter,SWC-107,7,0,0.0
ethainter,SWC-107,8,0,0.0
ethainter,SWC-106,4,127,0.0039722256974853
ethainter,SWC-106,5,24,0.0021929824561403508
ethainter,SWC-106,6,21,0.0010083065251836557
ethainter,SWC-106,7,88,0.00874751491053678
ethainter,SWC-106,8,241,0.0013574635146476508
ethainter,SWC-115,4,0,0.0
ethainter,SWC-115,5,0,0.0
ethainter,SWC-115,6,0,0.0
ethainter,SWC-115,7,0,0.0
ethainter,SWC-115,8,0,0.0
ethainter,SWC-105,4,196,0.00613036406855999
ethainter,SWC-105,5,36,0.003289473684210526
ethainter,SWC-105,6,145,0.006962116483410957
ethainter,SWC-105,7,136,0.013518886679920477
ethainter,SWC-105,8,660,0.003717534936379459
ethainter,SWC-101,4,0,0.0
ethainter,SWC-101,5,0,0.0
ethainter,SWC-101,6,0,0.0
ethainter,SWC-101,7,0,0.0
ethainter,SWC-101,8,0,0.0
madmax,SWC-107,4,0,0.0
madmax,SWC-107,5,0,0.0
madmax,SWC-107,6,0,0.0
madmax,SWC-107,7,0,0.0
madmax,SWC-107,8,0,0.0
madmax,SWC-106,4,0,0.0
madmax,SWC-106,5,0,0.0
madmax,SWC-106,6,0,0.0
madmax,SWC-106,7,0,0.0
madmax,SWC-106,8,0,0.0
madmax,SWC-115,4,0,0.0
madmax,SWC-115,5,0,0.0
madmax,SWC-115,6,0,0.0
madmax,SWC-115,7,0,0.0
madmax,SWC-115,8,0,0.0
madmax,SWC-105,4,0,0.0
madmax,SWC-105,5,0,0.0
madmax,SWC-105,6,0,0.0
madmax,SWC-105,7,0,0.0
madmax,SWC-105,8,0,0.0
madmax,SWC-101,4,369,0.011541348680095083
madmax,SWC-101,5,22,0.002010233918128655
madmax,SWC-101,6,116,0.005569693186728766
madmax,SWC-101,7,94,0.00934393638170974
madmax,SWC-101,8,810,0.004562429240102063
mythril,SWC-107,4,2538,0.07938195921431253
mythril,SWC-107,5,128,0.011695906432748537
mythril,SWC-107,6,432,0.02074230566092092
mythril,SWC-107,7,207,0.020576540755467197
mythril,SWC-107,8,10325,0.05815689123957259
mythril,SWC-106,4,118,0.003690729388214688
mythril,SWC-106,5,5,0.00045687134502923974
mythril,SWC-106,6,7,0.00033610217506121863
mythril,SWC-106,7,19,0.0018886679920477136
mythril,SWC-106,8,145,0.0008167311602651842
mythril,SWC-115,4,376,0.011760290253972227
mythril,SWC-115,5,23,0.002101608187134503
mythril,SWC-115,6,166,0.007970423008594612
mythril,SWC-115,7,48,0.004771371769383698
mythril,SWC-115,8,3689,0.02077876724288458
mythril,SWC-105,4,489,0.01529463280370324
mythril,SWC-105,5,62,0.005665204678362573
mythril,SWC-105,6,48,0.0023047006289912135
mythril,SWC-105,7,57,0.005666003976143141
mythril,SWC-105,8,386,0.002174194674912835
mythril,SWC-101,4,6052,0.18929062930063806
mythril,SWC-101,5,338,0.030884502923976608
mythril,SWC-101,6,1860,0.08930714937340951
mythril,SWC-101,7,575,0.05715705765407555
mythril,SWC-101,8,0,0.0
semgrep,SWC-107,4,31,0.0009695983985987739
semgrep,SWC-107,5,533,0.04870248538011696
semgrep,SWC-107,6,751,0.03605896192442502
semgrep,SWC-107,7,1322,0.13141153081510934
semgrep,SWC-107,8,30521,0.17191346029278404
semgrep,SWC-106,4,1,3.1277367696734645e-05
semgrep,SWC-106,5,0,0.0
semgrep,SWC-106,6,0,0.0
semgrep,SWC-106,7,0,0.0
semgrep,SWC-106,8,3,1.6897886074452087e-05
semgrep,SWC-115,4,0,0.0
semgrep,SWC-115,5,0,0.0
semgrep,SWC-115,6,0,0.0
semgrep,SWC-115,7,0,0.0
semgrep,SWC-115,8,0,0.0
semgrep,SWC-105,4,0,0.0
semgrep,SWC-105,5,21,0.001918859649122807
semgrep,SWC-105,6,35,0.001680510875306093
semgrep,SWC-105,7,0,0.0
semgrep,SWC-105,8,5,2.8163143457420142e-05
semgrep,SWC-101,4,12,0.0003753284123608157
semgrep,SWC-101,5,10,0.0009137426900584795
semgrep,SWC-101,6,81,0.0038891823114226725
semgrep,SWC-101,7,31,0.003081510934393638
semgrep,SWC-101,8,224,0.0012617088268924224
slither,SWC-107,4,13262,0.41480045039409486
slither,SWC-107,5,3093,0.2826206140350877
slither,SWC-107,6,12455,0.5980217986267825
slither,SWC-107,7,6663,0.6623260437375745
slither,SWC-107,8,157313,0.886085717343427
slither,SWC-106,4,94,0.0029400725634930566
slither,SWC-106,5,16,0.0014619883040935672
slither,SWC-106,6,8,0.00038411677149853557
slither,SWC-106,7,25,0.002485089463220676
slither,SWC-106,8,78,0.00043934503793575426
slither,SWC-115,4,47,0.0014700362817465283
slither,SWC-115,5,12,0.0010964912280701754
slither,SWC-115,6,376,0.018053488260431173
slither,SWC-115,7,86,0.008548707753479125
slither,SWC-115,8,9419,0.05305372964508807
slither,SWC-105,4,1249,0.039065432253221566
slither,SWC-105,5,368,0.033625730994152045
slither,SWC-105,6,2259,0.10846497335189897
slither,SWC-105,7,950,0.09443339960238568
slither,SWC-105,8,22545,0.12698761384950744
slither,SWC-101,4,0,0.0
slither,SWC-101,5,0,0.0
slither,SWC-101,6,0,0.0
slither,SWC-101,7,0,0.0
slither,SWC-101,8,0,0.0
smartcheck,SWC-107,4,0,0.0
smartcheck,SWC-107,5,0,0.0
smartcheck,SWC-107,6,0,0.0
smartcheck,SWC-107,7,0,0.0
smartcheck,SWC-107,8,0,0.0
smartcheck,SWC-106,4,0,0.0
smartcheck,SWC-106,5,0,0.0
smartcheck,SWC-106,6,0,0.0
smartcheck,SWC-106,7,0,0.0
smartcheck,SWC-106,8,0,0.0
smartcheck,SWC-115,4,240,0.007506568247216314
smartcheck,SWC-115,5,137,0.01251827485380117
smartcheck,SWC-115,6,346,0.016613050367311664
smartcheck,SWC-115,7,323,0.032107355864811137
smartcheck,SWC-115,8,4139,0.023313450154052395
smartcheck,SWC-105,4,0,0.0
smartcheck,SWC-105,5,0,0.0
smartcheck,SWC-105,6,0,0.0
smartcheck,SWC-105,7,0,0.0
smartcheck,SWC-105,8,0,0.0
smartcheck,SWC-101,4,259,0.008100838233454272
smartcheck,SWC-101,5,0,0.0
smartcheck,SWC-101,6,0,0.0
smartcheck,SWC-101,7,0,0.0
smartcheck,SWC-101,8,0,0.0
solhint,SWC-107,4,4761,0.14891154760415362
solhint,SWC-107,5,195,0.01781798245614035
solhint,SWC-107,6,725,0.034810582417054786
solhint,SWC-107,7,431,0.04284294234592445
solhint,SWC-107,8,3672,0.020683012555129353
solhint,SWC-106,4,0,0.0
solhint,SWC-106,5,0,0.0
solhint,SWC-106,6,0,0.0
solhint,SWC-106,7,0,0.0
solhint,SWC-106,8,0,0.0
solhint,SWC-115,4,490,0.015325910171399976
solhint,SWC-115,5,252,0.023026315789473683
solhint,SWC-115,6,1008,0.04839871320881548
solhint,SWC-115,7,440,0.0437375745526839
solhint,SWC-115,8,18575,0.10462607794431583
solhint,SWC-105,4,0,0.0
solhint,SWC-105,5,0,0.0
solhint,SWC-105,6,0,0.0
solhint,SWC-105,7,0,0.0
solhint,SWC-105,8,0,0.0
solhint,SWC-101,4,0,0.0
solhint,SWC-101,5,0,0.0
solhint,SWC-101,6,0,0.0
solhint,SWC-101,7,0,0.0
solhint,SWC-101,8,0,0.0
soliditycheck,SWC-107,4,0,0.0
soliditycheck,SWC-107,5,0,0.0
soliditycheck,SWC-107,6,0,0.0
soliditycheck,SWC-107,7,0,0.0
soliditycheck,SWC-107,8,0,0.0
soliditycheck,SWC-106,4,0,0.0
soliditycheck,SWC-106,5,0,0.0
soliditycheck,SWC-106,6,0,0.0
soliditycheck,SWC-106,7,0,0.0
soliditycheck,SWC-106,8,0,0.0
soliditycheck,SWC-115,4,489,0.01529463280370324
soliditycheck,SWC-115,5,157,0.014345760233918129
soliditycheck,SWC-115,6,851,0.04086042156815672
soliditycheck,SWC-115,7,190,0.018886679920477135
soliditycheck,SWC-115,8,17544,0.0988188377633958
soliditycheck,SWC-105,4,0,0.0
soliditycheck,SWC-105,5,0,0.0
soliditycheck,SWC-105,6,0,0.0
soliditycheck,SWC-105,7,0,0.0
soliditycheck,SWC-105,8,0,0.0
soliditycheck,SWC-101,4,0,0.0
soliditycheck,SWC-101,5,0,0.0
soliditycheck,SWC-101,6,0,0.0
soliditycheck,SWC-101,7,0,0.0
soliditycheck,SWC-101,8,0,0.0
vandal,SWC-107,4,19921,0.6230764418866508
vandal,SWC-107,5,3824,0.34941520467836257
vandal,SWC-107,6,11004,0.5283526191962357
vandal,SWC-107,7,6811,0.6770377733598409
vandal,SWC-107,8,119813,0.6748621414127759
vandal,SWC-106,4,146,0.004566495683723258
vandal,SWC-106,5,7,0.0006396198830409356
vandal,SWC-106,6,40,0.0019205838574926778
vandal,SWC-106,7,43,0.004274353876739563
vandal,SWC-106,8,291,0.0016390949492218524
vandal,SWC-115,4,476,0.01488802702364569
vandal,SWC-115,5,128,0.011695906432748537
vandal,SWC-115,6,517,0.02482354635809286
vandal,SWC-115,7,211,0.020974155069582504
vandal,SWC-115,8,10187,0.0573795884801478
vandal,SWC-105,4,1292,0.04041035906418116
vandal,SWC-105,5,83,0.00758406432748538
vandal,SWC-105,6,115,0.005521678590291449
vandal,SWC-105,7,71,0.00705765407554672
vandal,SWC-105,8,441,0.002483989252944457
vandal,SWC-101,4,0,0.0
vandal,SWC-101,5,0,0.0
vandal,SWC-101,6,0,0.0
vandal,SWC-101,7,0,0.0
vandal,SWC-101,8,0,0.0
verismart,SWC-107,4,0,0.0
verismart,SWC-107,5,0,0.0
verismart,SWC-107,6,0,0.0
verismart,SWC-107,7,0,0.0
verismart,SWC-107,8,0,0.0
verismart,SWC-106,4,434,0.013574377580382834
verismart,SWC-106,5,32,0.0029239766081871343
verismart,SWC-106,6,30,0.0014404378931195084
verismart,SWC-106,7,95,0.009443339960238568
verismart,SWC-106,8,63,0.0003548556075634938
verismart,SWC-115,4,0,0.0
verismart,SWC-115,5,0,0.0
verismart,SWC-115,6,0,0.0
verismart,SWC-115,7,0,0.0
verismart,SWC-115,8,0,0.0
verismart,SWC-105,4,4582,0.14331289878643813
verismart,SWC-105,5,415,0.0379203216374269
verismart,SWC-105,6,3615,0.17357276612090075
verismart,SWC-105,7,1722,0.17117296222664016
verismart,SWC-105,8,19283,0.10861397905788653
verismart,SWC-101,4,24749,0.7740835731264857
verismart,SWC-101,5,7812,0.7138157894736842
verismart,SWC-101,6,12756,0.6124741921544149
verismart,SWC-101,7,3611,0.3589463220675944
verismart,SWC-101,8,5753,0.03240451286210762
