address,vulnerability,compiler,SWC_ID
0x3724c5A69432268fD7abf6e1b1503c9E24D5291e,OverflowLoopIterator,0.8.12,SWC-101
0xB522F6ab8576D961EBE34829293eB9093d608314,OverflowLoopIterator,0.8.12,SWC-101
0x232e70e0c60a83eb3e51d64965dd0601c99d7f3e,OverflowLoopIterator,0.8.12,SWC-101
0xfd64fa5976687c2048f08f5df89c9a78e31df680,OverflowLoopIterator,0.8.13,SWC-101
0x1e35ebF875f8A2185EDf22da02e7dBCa0F5558aB,OverflowLoopIterator,0.6.12,SWC-101
0x2c09B8eA4606247Bf5AEC77B063c894334C6d205,OverflowLoopIterator,0.7.6,SWC-101
0xEeF2297e15CD085A0ad33197CE8c2Eab6F023c2B,OverflowLoopIterator,0.8.14,SWC-101
0x13565484A22235C866D063A6Fb1f1bc57A9Be1E2,OverflowLoopIterator,0.8.10,SWC-101
0xbb869f884186c3cba0Ffa89Ab84980cb86F8744D,OverflowLoopIterator,0.8.10,SWC-101
0x7Bd62a8Ff8DBC6c93a536868eb07828943E7812b,OverflowLoopIterator,0.8.11,SWC-101
0x67e72299beaf3f59f365bb4a43e8d02bff61e176,OverflowLoopIterator,v0.4.18,SWC-101
0x6360c66db2fbf3a39ae3db7f0ed0b551043f13d1,OverflowLoopIterator,v0.4.21,SWC-101
0x1b0522c47209371F965568129b9C5dE7dcb77778,OverflowLoopIterator,0.8.4,SWC-101
0x4cBFC8772ee8d12cdd6007C9E4254AEB71214bab,OverflowLoopIterator,0.8.4,SWC-101
0x35cdb713a19f49f0776eaf82063e488e5424dd5a,OverflowLoopIterator,0.6.12,SWC-101
0xd6c567a69113ac819b2d183f3d98497665331cdb,OverflowLoopIterator,0.7.3,SWC-101
0xb4910fe410240d2b79c557250adc767a9bc930c1,OverflowLoopIterator,v0.4.21,SWC-101
0xf6a1e68e9ff6589b19981c4716f32b38ec8cc3ac,OverflowLoopIterator,v0.4.21,SWC-101
0x0Ac9f2dde31eEee4fFb3f2DE5578FaE7C97B5755,OverflowLoopIterator,0.7.3,SWC-101
0x39a6e711b7333fcb0aa112556a25ff057f72a5dc,OverflowLoopIterator,0.6.12,SWC-101
0xAd1c28CAF4280658533E1bA94f3653f0f47c6824,OverflowLoopIterator,0.5.16,SWC-101
0xa7db1BAEd010a7b61B876bF8409A74a18df8A153,OverflowLoopIterator,0.5.16,SWC-101
0xca503175c6fd8dc36bd23737adf15916c7821cd3,OverflowLoopIterator,v0.4.23,SWC-101
0x60fc18f243656532fce2265a5278d95cb3afa034,OverflowLoopIterator,v0.4.18,SWC-101
0x58bf4d7869517fb67fdc4fac0897e7829d19f47e,OverflowLoopIterator,v0.4.21,SWC-101
0x148676fd040b7cf207a0c69011e2fc068b969a27,OverflowLoopIterator,v0.4.23,SWC-101
0x07e6347dd2f83a1b396a79060613e890f44fa36f,OverflowLoopIterator,v0.4.23,SWC-101
0x4B671aDE2A853613E46c7c0A86D7DF547d098b83,OverflowLoopIterator,0.8.4,SWC-101
0x00bB7246cD1Dc5282D960EFb37AC685ee0D42309,OverflowLoopIterator,0.8.7,SWC-101
0x610ACe4E7Bfb9d501dBba714FA3A6A0fcD7783B2,OverflowLoopIterator,0.8.6,SWC-101
0x6De00C7b2C9dfe8E065e1cA8bE3Be089d6E50ee9,OverflowLoopIterator,0.8.6,SWC-101
0xe7058bf41230df7211a28958d517060d7d56baf5,OverflowLoopIterator,0.7.6,SWC-101
0xd82deA006eBc7d6613F17eD37BC1D27972D4af9E,OverflowLoopIterator,0.8.0,SWC-101
0xb03844542e25eb2e179c423da39ee14f1fdff0c1,OverflowLoopIterator,0.8.16,SWC-101
0x095c0f071fd75875a6b5a1def3f3a993f591080c,OverflowLoopIterator,v0.4.24,SWC-101
0xcbefaf199b800deeb9ead61f358ee46e06c54070,OverflowLoopIterator,v0.4.24,SWC-101
0x927764bb17ce8b9f8c3a930ca4472d611ee93173,OverflowLoopIterator,v0.4.24,SWC-101
0x8b52b019d237d0bbe8baedf219132d5254e0690b,OverflowLoopIterator,v0.4.24,SWC-101
0xd560e04ac70382e387be3208741465d4fd8f36b8,OverflowLoopIterator,0.6.2,SWC-101
0xcbB7f592f68841BC219Fe635ECFC27b518c06335,OverflowLoopIterator,0.5.9,SWC-101
0x38061355272e487ca6ba929038442734127114e1,OverflowLoopIterator,0.8.6,SWC-101
0xCBbf6a1c5f63c95CbA2e5135836385f25ed5bf21,OverflowLoopIterator,0.8.13,SWC-101
0xe943A95D7aEB81aa7431d49e2Df048989C10FB70,OverflowLoopIterator,0.8.11,SWC-101
0x7BF0fb9d8BE8bAfe1103Ee837C07C121F3ddE14b,OverflowLoopIterator,0.8.4,SWC-101
0xe4405d06cBfd49f9A7eC9D788cE411DA4cF847f6,OverflowLoopIterator,0.8.4,SWC-101
0x8A0B3E62173b1803B4C7517d4f6a08e5D5e40DA5,OverflowLoopIterator,0.8.17,SWC-101
0xa0d440c6da37892dc06ee7930b2eede0634fd681,OverflowLoopIterator,v0.4.24,SWC-101
0xC5B21b6F6f64a634d0DcD2F88a62DCa2C6cAd2bc,OverflowLoopIterator,0.8.9,SWC-101
0x530ed8Baf04a2F7141a7B3139B0fbeF4968d30cB,OverflowLoopIterator,0.7.4,SWC-101
0xd309ca41dc2cddc038149cf7267bd1aa42d72599,OverflowLoopIterator,0.8.4,SWC-101
0xc056471f31a8f67b5488028b779e0ae546eb78a7,OverflowLoopIterator,v0.4.24,SWC-101
0x31d85fffd7e38bd42d2ae0409ac149e3ef0fd92c,OverflowLoopIterator,v0.4.24,SWC-101
0x5192014a024886f6cb3f1ae7af0bd4779c2e29fa,OverflowLoopIterator,v0.4.21,SWC-101
0x0ecC64675d6a34D46054b4A4eD64923D77d82582,OverflowLoopIterator,0.7.4,SWC-101
0x8bb8899986b823aa16e5a6a9b031b7d4efedf354,OverflowLoopIterator,0.5.17,SWC-101
0xb17ec70779a3817281f1b8927b24e26d08ae8997,OverflowLoopIterator,0.7.4,SWC-101
0x3bd21a6d3925c8e7f20e1eb910d01c33b412e588,OverflowLoopIterator,0.5.17,SWC-101
0xaf6e6d274182fec840113a177791541b784dc906,OverflowLoopIterator,0.5.17,SWC-101
0x20d7d4b07a2dcefe1bd99ac11eae2f5a8218e454,OverflowLoopIterator,v0.4.16,SWC-101
0x48198311ac8d81929c0e67e00dfc789b706178e9,OverflowLoopIterator,v0.4.16,SWC-101
0x50e90d8e1c012a98fb4ba3246447f27035a8780a,OverflowLoopIterator,0.7.6,SWC-101
0xB5A6968502F7E6C2aA3F52af4Fe585D2009288c9,OverflowLoopIterator,0.8.4,SWC-101
0x7f85141f4c463b194017e849db8973c7961476ce,OverflowLoopIterator,v0.4.21,SWC-101
0x42D2b05b20565de5f2beF7503ebdaD0754A5d4b4,OverflowLoopIterator,v0.4.18,SWC-101
0x92b7c396134cc50f4e62f60a85cecf3f38c33386,OverflowLoopIterator,0.8.7,SWC-101
0x24b7b369CCB384E451c9bcBF41dE4C74eC21F43C,OverflowLoopIterator,0.8.10,SWC-101
0xdB41BC975BB30725C71EAba14A961e6a837647d8,OverflowLoopIterator,0.8.14,SWC-101
0xED45CDa53Ce2e5A2b2AFC611e35136e9F1D9fbfF,OverflowLoopIterator,0.8.7,SWC-101
0x231d3559aa848Bf10366fB9868590F01d34bF240,OverflowLoopIterator,0.8.13,SWC-101
0x754919e99C37Ea4168B83F0cc9341C050E4a2c81,OverflowLoopIterator,0.8.9,SWC-101
0x28A82124699dd61FBADbdECEde4E8A3FD80140Df,OverflowLoopIterator,0.8.3,SWC-101
0xfe5b81688055e1eda92cc9b15f86b71052f9f7c1,OverflowLoopIterator,0.8.10,SWC-101
0xf62e5cb35ee81b3c259fb002d61d7c7733ed3476,OverflowLoopIterator,v0.4.21,SWC-101
0x9cF60Cf93E3eFD8e879D69Cc84cd16F1d004158A,OverflowLoopIterator,0.8.12,SWC-101
0x209DCC12AC53f3324A453963B3A796CEc1Af3F0D,OverflowLoopIterator,0.8.13,SWC-101
0x4444A820240406F1b864c518ff258DA8037e97C5,OverflowLoopIterator,0.8.14,SWC-101
0x9893b4236C270623e0d30f836826e5d4A22810e7,OverflowLoopIterator,0.8.14,SWC-101
0x7535974766972E1C6633Aae6b0Cf85EEB1A5De3e,OverflowLoopIterator,0.7.4,SWC-101
0x8AeB7C2D4758eb51080493E2Cb290d62510659C7,OverflowLoopIterator,0.8.11,SWC-101
0xa1c80b8ea2ce44b889f48dbfa166597434f33904,OverflowLoopIterator,0.6.5,SWC-101
0x585CFdd161C6e3D459727A2364A4A768FbF0FF85,OverflowLoopIterator,0.8.11,SWC-101
0x19b369f69bc5bd6aadc4d30c179c8ac5ae6cbae0,OverflowLoopIterator,v0.4.25,SWC-101
0xbea80518deb6ab650fba244830ccd737a4c42242,OverflowLoopIterator,v0.4.25,SWC-101
0x56d20d6736da48d628fde1544c0986e02d92b842,OverflowLoopIterator,v0.4.25,SWC-101
0x3b7ee460DceC30482aC48acAA0AbB2C3Aa4155a3,OverflowLoopIterator,0.8.7,SWC-101
0x6c0abafc02a031c6240462f8707c0913a930091e,OverflowLoopIterator,0.8.2,SWC-101
0x7ec6ee9b1fb1b09017b3f49e516d9d2a52678706,OverflowLoopIterator,0.8.9,SWC-101
0xfFD287647F3F5ac7e5d613911B75023311712F93,OverflowLoopIterator,0.8.9,SWC-101
0xccffe7182dac0821af63d9498cd2fc99b8b40843,OverflowLoopIterator,v0.4.24,SWC-101
0x5FF2f23407143E6c9864Cd5c759F6A90baf63BDF,OverflowLoopIterator,0.6.12,SWC-101
0x0743cde04b930cf45c307d99d9c6983c9e1898d8,OverflowLoopIterator,0.8.0,SWC-101
0x20B4b6E65224e267524561164fa3C2AB5715C880,OverflowLoopIterator,0.8.4,SWC-101
0xe88fa8194b72ba2e2cf7c2f079a605b324c4fb1e,OverflowLoopIterator,0.8.0,SWC-101
0x4a013d18330880167a2507bc7b2a90bd2c912ec7,OverflowLoopIterator,0.8.0,SWC-101
0x4793586d32b5915f83538581a7cc08a65d2dd17c,OverflowLoopIterator,0.6.5,SWC-101
0x91E28917Db0be0A2BC13C2f84483aeC3833186dD,OverflowLoopIterator,0.6.12,SWC-101
0x9b121e19fc09b777ffa6fbd58ab980d1cf0503c4,OverflowLoopIterator,0.8.7,SWC-101
0xc9f7fe06e2874606d6921442e1421c888497706b,OverflowLoopIterator,0.8.7,SWC-101
0x4a7b59efa94626b5ce4842ced3303ca8afd789ac,OverflowLoopIterator,v0.4.25,SWC-101
0x6b249a94182219cb1af58a197573dccd9ab94144,OverflowLoopIterator,v0.4.24,SWC-101
0x6f33a7842ad134b2f4bcbedb34bce299dad56c97,OverflowLoopIterator,v0.4.24,SWC-101
0x8Fb4192942011C83Df48D15800F22f7D3a6b0974,OverflowLoopIterator,0.8.11,SWC-101
0x499b78d0ef68272804C9661d7a12dcC7208BC322,OverflowLoopIterator,0.6.6,SWC-101
0xD491264Ede90301E04a96a05Ee35A6b399Cd180A,OverflowLoopIterator,0.6.6,SWC-101
0xf01DfAC37DD149Cb686E05d06cd21930B011F10F,OverflowLoopIterator,0.8.7,SWC-101
0xB42970B84C25aa3b1FD145fC41d2F301EC4BB9ad,OverflowLoopIterator,0.8.4,SWC-101
