address,vulnerability,compiler,SWC_ID
0xe5884fb34d47482e1ffd89f928c6985253f3eb5d,State access after external call,0.8.4,SWC-107
0xc6a4c61f4d2e0d163f4e07d958f5d8ce3908ccdb,State access after external call,0.8.7,SWC-107
0xEC68031EAC7392266d54C19ca728E2D2Fa6b4084,State access after external call,0.8.4,SWC-107
0xcfd17cdecfbabfee21a36f79631e4546076db50c,State access after external call,0.8.12,SWC-107
0x098313a46d31fb1b7248e991497cc77bbd5bc655,State access after external call,0.8.7,SWC-107
0x970615ee605a78799184ff009793ac2dfef5c223,State access after external call,0.8.7,SWC-107
0x57d23f0f101cBd25A05Fc56Fd07dE32bCBb622e9,State access after external call,0.8.11,SWC-107
0x654Eb95C8056f9B47f5a7CDD799324236728bED8,State access after external call,0.8.7,SWC-107
0x00f6b54d73dab3cac72ba5e519da2304fc0be34e,Dependence on tx.origin,0.8.7,SWC-115
0x00f6b54d73dab3cac72ba5e519da2304fc0be34e,State access after external call,0.8.7,SWC-107
0x3b6893ee6dcc9c108a9b7f67f9431aadac580649,State access after external call,0.8.7,SWC-107
0x01618e56c73c46a6566ab39215090c8cb0c69bc2,State access after external call,0.8.7,SWC-107
0xba26d82fdbe234eaaf8bbec8ad5355b488454635,State access after external call,0.8.15,SWC-107
0x81dbc6745f053ca112c4dfbe6eb01c235ad5d90e,State access after external call,0.8.7,SWC-107
0x9275d5f19ec1a1d79e80d40d81fb35615b23f171,State access after external call,0.8.7,SWC-107
0x324c0C29E116DC06B31010Da6857425BC8700B13,State access after external call,0.8.11,SWC-107
0xC454684476EC963827ddEc9935BaA6eAFE4F92E8,State access after external call,0.8.7,SWC-107
0xbc8607324a5d785371ce58308baa37893ee79631,Dependence on tx.origin,0.8.0,SWC-115
0x74E08C3872e980D0c07A509aD50f421a44c83DA9,State access after external call,0.8.7,SWC-107
0xa744506fa02ada758abb6c4704418704d7726cb9,State access after external call,0.8.9,SWC-107
0x38e71d8c377e6e13d70d4100f76826ecc3454f2f,State access after external call,0.8.7,SWC-107
0x4777f9952772423404e4bb36559eda4f2a2d6ed3,State access after external call,0.8.8,SWC-107
0xa595d6c052b54f33e2474c8088af815057059151,Dependence on tx.origin,0.8.7,SWC-115
0xC765b3eEF3274eF43B0851a2931dE7297094eEeA,Dependence on tx.origin,0.8.12,SWC-115
0x76d2d98ade7e31ec028e5314f6f63566ebcdd3ee,State access after external call,0.8.7,SWC-107
0x89a109f0f45456ffda7d8435a49be6ab34a2e927,State access after external call,0.8.15,SWC-107
0x9efae25f19a633beca03c799ab6fb5da1766559c,State access after external call,0.8.7,SWC-107
0x766eF20ddc9D0385BA7C0Af3A5394238366e95b1,State access after external call,0.8.9,SWC-107
0xdb9457a06ca9bb171abf668469705b634c78fa22,State access after external call,0.8.7,SWC-107
0xBB4Fb9368095017D292BdEDF7BDD97232F2feA49,State access after external call,0.8.9,SWC-107
0x2e07c1fe56845c5ba7b62140c1c27bdf8eeee3c4,Dependence on tx.origin,0.8.7,SWC-115
0x2e07c1fe56845c5ba7b62140c1c27bdf8eeee3c4,State access after external call,0.8.7,SWC-107
0x3b98D46cc7cA9A3D3EE25D61Cf4de4B6576fE3e7,State access after external call,0.8.7,SWC-107
0x9AEBec8886C896eC16068554917E64E109e877b8,State access after external call,0.8.9,SWC-107
0x7f59784d9e83835f0832f90639ee667d7ac1a179,State access after external call,0.8.15,SWC-107
0xe942fdd755df81e69ffade7f51e3021e0d086528,State access after external call,0.8.7,SWC-107
0x4b2cacce7b585b2914d2a30750ffa6e8fb91e6ee,State access after external call,0.8.10,SWC-107
0x2fC06f32cdc5771B6526b433C62C138a19c9ca14,State access after external call,0.8.12,SWC-107
0x7331af1d8631bf485a3fa820b882b5c02ded3b61,Dependence on tx.origin,0.8.9,SWC-115
0x7331af1d8631bf485a3fa820b882b5c02ded3b61,State access after external call,0.8.9,SWC-107
0x2f5ff84fb09a4308cd65c77dae07a8e7ad95b4c7,State access after external call,0.8.7,SWC-107
0xCf11D02DA9dD3fD8F514150BA449d3a52243EE0c,State access after external call,0.8.9,SWC-107
0xd8403834a7a26b634d916c74d3d491e388ae89ef,State access after external call,0.8.10,SWC-107
0x6251FdF0A5505A5fe5d16b93D96F16191a3bc0CA,State access after external call,0.8.7,SWC-107
0x4f96168fdf8cb2fd4e064cc626aaa94eae36919a,State access after external call,0.8.7,SWC-107
0xb49f8ec80af42587c2b28ce1503328208564c8cf,State access after external call,0.8.15,SWC-107
0x9eB646E52259De68102E19F621782fD265AD748b,State access after external call,0.8.7,SWC-107
0x6745E36010bB5F13B1d8E5e4E9B2Abf18737e278,State access after external call,0.8.9,SWC-107
0x647f294cff20c773ee6f1d13b732aec984a96941,State access after external call,0.8.7,SWC-107
0x4f354EeEe33a9402E13B9827f4ceEF898597bbF8,Dependence on tx.origin,0.8.7,SWC-115
0xbae289742ec4c61be9d177ee91ecfb0d7c45083d,Dependence on tx.origin,0.8.7,SWC-115
0x99ddC7DC52fAD006c4DbF2aFfaFc317B8c187490,Dependence on tx.origin,0.8.7,SWC-115
0x99ddC7DC52fAD006c4DbF2aFfaFc317B8c187490,State access after external call,0.8.7,SWC-107
0xe6E415A66bEc575EB53700bDE3242379372c8e1c,Dependence on tx.origin,0.8.12,SWC-115
0xe6E415A66bEc575EB53700bDE3242379372c8e1c,State access after external call,0.8.12,SWC-107
0x98a4f41cdae6df13088b0ba0f25f688365348f6b,State access after external call,0.8.7,SWC-107
0x358d374f597ef63a2160153de49550dba011e471,State access after external call,0.8.7,SWC-107
0x535ccbef2ab0ec562613f03bd435cbe8c338813a,Integer Arithmetic Bugs,0.4.26,SWC-101
0xC0E392b6D758f3b80b58c598b05BA30C03D88E8c,State access after external call,0.8.14,SWC-107
0x6d51ff8b487a50aa0456b4c244545c60dbb69b37,State access after external call,0.8.12,SWC-107
0xd733701a38734c154b3d681a6029a1535a9de97a,State access after external call,0.8.7,SWC-107
0x4b63aebe7a415fb35c965ce9a5d66323d4e1ef10,Dependence on tx.origin,0.8.7,SWC-115
0x4b63aebe7a415fb35c965ce9a5d66323d4e1ef10,State access after external call,0.8.7,SWC-107
