address,vulnerability,compiler,SWC_ID
0x59e1a6db38b866e3ca0f0c9d477106aec0db0ebc,erc721-reentrancy,0.8.7,SWC-107
0x389ffe5885e73e2dedbbd7781cae64b9a917b2cf,erc721-reentrancy,0.8.7,SWC-107
0xE377C0f2D5e5b671D43B2901cdD646F33A86Da34,erc721-reentrancy,0.8.4,SWC-107
0x95e4a73C33Fd65b42c2c5744f78BA38Ff3eA87EE,erc721-reentrancy,0.8.9,SWC-107
0x4C34c5ABA9a269Ed1bA0FC7e8Db65643c8d114b6,erc721-reentrancy,0.8.11,SWC-107
0xB36AC260D993b37EaEA8C60C31899c59a719E1Be,erc721-reentrancy,0.8.4,SWC-107
0xD9c97a1aF6b6689e49be1A5afA895114f843Bd28,erc721-reentrancy,0.8.9,SWC-107
0xc8d35e3eb66cd568fcd1f290a294e0bacdb58538,erc721-reentrancy,0.8.16,SWC-107
0xb534d8b33269097c140bfe19bfdf63919b8d12c7,erc721-reentrancy,0.8.7,SWC-107
0x942BC2d3e7a589FE5bd4A5C6eF9727DFd82F5C8a,erc721-reentrancy,0.8.17,SWC-107
0x1983c5c0aff25eca5d654762273737bd517d7339,erc721-reentrancy,0.8.17,SWC-107
0x895e0F2Eed014e536eD78109d6365f4bCb111005,erc721-reentrancy,0.8.10,SWC-107
0x22203962e3f22fC1E5A1a1c31D9b76E3C08136E4,erc721-reentrancy,0.8.4,SWC-107
0xCbb07CB17f3EF0A10fA881C5E961A29d8367DA37,erc721-reentrancy,0.8.7,SWC-107
0x450C3eDA09D374919D77961b7c1dc8352505E92D,erc721-reentrancy,0.8.10,SWC-107
0x3dbb36b945a9f6defedd8f9744648d11438eaf3a,erc721-reentrancy,0.8.7,SWC-107
0x500167670745e07cb8d6baf0a543aa9928af043f,erc721-reentrancy,0.8.7,SWC-107
0x0b818ddA6a66F94187e800fea2631433Da53fb4E,erc721-reentrancy,0.8.13,SWC-107
0xec33d36c69ae0a3f6dbc972f9e2960e84c4ec283,erc721-reentrancy,0.8.7,SWC-107
0xa87a1d592d7006198b472c847d46951483dcdae0,erc721-reentrancy,0.8.4,SWC-107
0x7Dcc24E8D875D7E07DC68ef95Cf66A8d1b244E8a,erc721-reentrancy,0.8.7,SWC-107
0x09a2961f6b0dcffd92815cd1c24caa92a69cbfb4,curve-readonly-reentrancy,0.8.12,SWC-107
0x8E513991F53b423c01107cFaec8Da4B5a91DF2cb,erc721-reentrancy,0.8.9,SWC-107
0xddDa81Cb8277DAa757b8bdDbD2d92cD77a32c313,erc721-reentrancy,0.8.9,SWC-107
0xc1cfefe99b101257df8086842ed46ee635ab3989,erc721-reentrancy,0.8.13,SWC-107
0x9eaf9730cb1f8c07e3e3f3e243189fc7af501650,erc721-reentrancy,0.8.9,SWC-107
0x0EEE014Ae71ED5646071DC97ac5b1b76D6064AC8,erc721-reentrancy,0.8.17,SWC-107
0xd6f748f54CC179201fc9747D2427f1b0C1D13581,erc721-reentrancy,0.8.15,SWC-107
0x0D690Ec2392B0D200a00DE671a8A71a6c7866048,erc721-reentrancy,0.8.13,SWC-107
0xEa47894E3f7Fb1e2107d879C257B2C6BA67a5AbF,erc721-reentrancy,0.8.17,SWC-107
0x5ee6AB348C852436F3353C21B32b85F2B06ce8aA,erc721-reentrancy,0.8.7,SWC-107
0xAd6367647e298F3b4C51A864dE49d0197955B6AB,erc721-reentrancy,0.8.7,SWC-107
0xd33Eb0dc95aFf1a5F6cA04bA6Cc33ACdF85e7F62,erc721-reentrancy,0.8.4,SWC-107
0x0b351aeedd1f578bac85d29b13fcdf87ba020372,erc721-reentrancy,0.8.0,SWC-107
0x311AaBD45ae0D6b6da5638Cb85afE593b546ffD5,erc721-reentrancy,0.8.4,SWC-107
0x3A1e63E6de9A546a0b99A6244e69d36b069A84f5,erc721-reentrancy,0.8.0,SWC-107
0xcd0cB4e3152Cc77eed5De5177F92dc025112FF48,erc721-reentrancy,0.8.7,SWC-107
0x8ab59a99ff9edfd404d90ec06fbdfaee266bf59d,erc721-reentrancy,0.8.7,SWC-107
0x83599caa0b7467a3c2e18622e57197922961e8ff,erc721-reentrancy,0.8.1,SWC-107
0xed135feef512519b527de0423e2b702fc4e4caac,erc721-reentrancy,0.8.2,SWC-107
0x783ce8546ff89c9fa532a024ababa23ec0b9a94c,erc721-reentrancy,0.8.7,SWC-107
0xd3a860ac21ae26c4033dc329bcd03e0100ca27c4,erc721-reentrancy,0.8.10,SWC-107
0x74868b8828A05d2C4945917399697B1006125f22,erc721-reentrancy,0.8.7,SWC-107
0xc6bf6a0d278a67257437b462e262ffa7c70718a0,erc721-reentrancy,0.8.12,SWC-107
0xed44d1d08fdb2e98124b7054a01a920c1c5c6084,erc721-reentrancy,0.8.7,SWC-107
0xdd8cB7dae50659bb6bE5A0F7cEADB5d9c8C7A0eB,erc721-reentrancy,0.8.9,SWC-107
0x5245c838c525739b9b1dcb88de2d4dc1b513a253,erc721-reentrancy,0.8.7,SWC-107
0xebf7f995c720ea6ec5ac7a0ba1fe5f4d79e89d82,erc721-reentrancy,0.8.7,SWC-107
0xf39241012dca1612c5c77c5a09d853c5bf47737b,erc721-reentrancy,0.8.7,SWC-107
0x28462739c3EB65a571Bf92689e8257c806bD275D,erc721-reentrancy,0.8.7,SWC-107
0x8e8da8d17f81f64aa4cca308d2b2e128f8f6408f,erc721-reentrancy,0.7.3,SWC-107
0x2464df245c5e0ff013b4f65dca212a9a5b451089,erc721-reentrancy,0.8.0,SWC-107
0x90cA8a3eb2574F937F514749ce619fDCCa187d45,erc721-reentrancy,0.8.7,SWC-107
0xb9e759022d58f3483ca5e0874f7d4f23a1d0738a,erc721-reentrancy,0.8.4,SWC-107
0x36222D5969da94e05Aa953D2fe266dF139756e88,erc721-reentrancy,0.8.7,SWC-107
0xaf6041f80a76ed59705efc835ed94d62927108a1,erc721-reentrancy,0.7.6,SWC-107
0x929F194985E221C07cDE0902D74789E3637F8EA4,erc721-reentrancy,0.8.4,SWC-107
0x1604e13188ff96d54504af0a6377433db3b1f6b0,erc721-reentrancy,0.8.7,SWC-107
0x7a8acd0feddc0ad48f44f0d665f65263d68b888a,erc721-reentrancy,0.8.0,SWC-107
0xc0Cb81c1F89Ab0873653f67EEa42652F13CD8416,erc721-reentrancy,0.7.4,SWC-107
0x68fb67352535327438d319749e8f74c92157db14,erc721-reentrancy,0.8.7,SWC-107
0x9e5930272f5434dbdc12f918c1ba5198677dc6dc,erc721-reentrancy,0.8.7,SWC-107
0xd208ee54fde79d6ab54be4cc844d22c40bde2ddc,erc721-reentrancy,0.8.0,SWC-107
0x4954412C110C092995619d582457A57E89C95dB0,erc721-reentrancy,0.8.7,SWC-107
0x1fa68a0b1f902c5a86b494df5591dbaedbb46588,erc721-reentrancy,0.8.7,SWC-107
0x2657C23076b70318De375aE61cF6848235376ACF,erc721-reentrancy,0.7.3,SWC-107
