address,vulnerability,compiler,SWC_ID
0xadd2c79e3558b59c9994d81a2ce3da0eaca505ed,reentrancy,0.8.7,SWC-107
0x2b404bf4bc0abf0f0f337d125ee4f3b329c4d808,reentrancy,0.8.9,SWC-107
0xef6C2fDD8B1d7C55a78fEE1C11bB5af9b0fF1B20,avoid-tx-origin,0.8.6,SWC-115
0xA32f273B32D8143f384e63C4398ab76bE59B4243,reentrancy,0.7.6,SWC-107
0x3667d6b1aee4f96b608ee365fda9fa5ba866604c,avoid-tx-origin,0.8.7,SWC-115
0x132Cad6F6047a43a601A6B8344765F5ee7B082A7,reentrancy,0.7.6,SWC-107
0xfbB05b537cCaB45eAb83eF72cC46db9D310F7D08,avoid-tx-origin,0.8.7,SWC-115
0xeaa0f52d6b7d2ac1996ce4db3453c8f421f5ec65,avoid-tx-origin,0.8.2,SWC-115
0xad19b3a8984fa82f37198dbcbe111fcb46306cdb,avoid-tx-origin,0.8.9,SWC-115
0x680ec9492d8372662dd439294bff2bd373e96309,reentrancy,v0.4.20,SWC-107
0x9A0991fc223dFFE420e08f15b88a593a3b8D44B8,reentrancy,v0.4.20,SWC-107
0x80d3fd6d083a00536ace08ca550d583012e5b9a3,avoid-tx-origin,0.6.8,SWC-115
0x1D0Cb9498C81B264322A7a3570C6602F1d38F343,avoid-tx-origin,0.8.4,SWC-115
0x47d439d319ee33e4795b353cd144972ad4536c04,avoid-tx-origin,0.6.10,SWC-115
0x427b51ac68ef8573ed9233b272abb49221d65f22,avoid-tx-origin,0.6.12,SWC-115
0x93705522d7Ea32dad6f4D7B3AaDeF5Db7b52EEb3,avoid-tx-origin,0.6.12,SWC-115
0x779744def0c4add4cd66f071bbd3b8127de46127,reentrancy,0.7.6,SWC-107
0x2888292c1b624b2a3c0ef5b023467a6ca285256b,reentrancy,0.8.4,SWC-107
0xa9AEbBF67433e3e8206aF6fc2dDD99Ff8E7cC137,avoid-tx-origin,v0.4.20,SWC-115
0x0bbf6636277daaa6b97e890849da35a9a819fa0c,reentrancy,v0.4.24,SWC-107
0xEEEAA6FC4301f5e06213e31bAFF7d397E9aB4ec3,avoid-tx-origin,0.6.12,SWC-115
0x48903B19265B8FC866d20bb28E71a7335BE10D12,reentrancy,0.7.3,SWC-107
0x2419356360becd9929caafc787ce018b42fa56fa,reentrancy,0.6.7,SWC-107
0x1Ed438Db19C2E293Bce5e6FfBa8A5BDf97736780,avoid-tx-origin,0.7.3,SWC-115
0x42Dbe2922AF077440F76142eEBcD6661d3F63758,avoid-tx-origin,0.7.3,SWC-115
0xFB3e282416622ec39153A2620898437d84c27cBA,reentrancy,0.8.0,SWC-107
0x6969B3582062342b1213358764635101e53E6420,avoid-tx-origin,0.7.3,SWC-115
0x9E2eCd55a307eB08A1551FE7913266b02753f7d3,avoid-tx-origin,0.6.12,SWC-115
0x9E2eCd55a307eB08A1551FE7913266b02753f7d3,reentrancy,0.6.12,SWC-107
0x161b3d76071cbfd164f7e23e3a5ec49b46a69e26,reentrancy,v0.4.24,SWC-107
0x1489759a50554d23d1e10b82ae9dbaf209dbb4e8,reentrancy,v0.4.25,SWC-107
0xcd6cb1b25006603382b9e9a832b8686ae240373b,reentrancy,v0.4.25,SWC-107
0xf4a3679eb0a3d9e8af9824a29bd32dd98d1e7127,reentrancy,v0.4.25,SWC-107
0x48e6ca91001b3ff03ec6bdb42f40179644ff827a,reentrancy,v0.4.25,SWC-107
0x9798d857476de56c066abb4f8395e8f061893bac,reentrancy,v0.4.25,SWC-107
0x2145856A81B64D3F6f15EEA702964B6FFff898d8,reentrancy,0.8.7,SWC-107
0xb9bba653e6f26b09c355d4a4c24894a4ad3dcab7,reentrancy,0.6.5,SWC-107
0x220AC18221E820ae4B1019F5A0912920f26411Cf,avoid-tx-origin,0.8.9,SWC-115
