title,year,venue,ee
How effective are smart contract analysis tools? evaluating smart contract static analysis tools using bug injection.,2020,ISSTA,https://doi.org/10.1145/3395363.3397385
How Effective are Smart Contract Analysis Tools? Evaluating Smart Contract Static Analysis Tools Using Bug Injection.,2020,CoRR,https://arxiv.org/abs/2005.11613
"Empirical review of automated analysis tools on 47, 587 Ethereum smart contracts.",2020,ICSE,https://doi.org/10.1145/3377811.3380364
"Empirical Review of Automated Analysis Tools on 47,587 Ethereum Smart Contracts.",2020,Zenodo,https://doi.org/10.5281/zenodo.6902140
"Empirical Review of Automated Analysis Tools on 47, 587 Ethereum Smart Contracts.",2019,CoRR,http://arxiv.org/abs/1910.10601
Smart contracts that are smart and can function as legal contracts - A Review of Semantic Blockchain and Distributed Ledger Technologies.,2018,CoRR,http://arxiv.org/abs/1805.01279
A Survey of Vulnerability Detection Techniques by Smart Contract Tools.,2024,IEEE Access,https://doi.org/10.1109/ACCESS.2024.3401623
From smart legal contracts to contracts on blockchain: An empirical investigation.,2024,Comput. Law Secur. Rev.,https://doi.org/10.1016/j.clsr.2024.106035
A systematic literature review of undiscovered vulnerabilities and tools in smart contract technology.,2023,J. Intell. Syst.,https://doi.org/10.1515/jisys-2023-0038
Who is Smarter? An Empirical Study of AI-Based Smart Contract Creation.,2023,BRAINS,https://doi.org/10.1109/BRAINS59668.2023.10316829
Investigating Security Vulnerabilities and Tools of Blockchain Smart Contract: A Review.,2023,IC3,https://doi.org/10.1145/3607947.3608069
Empirical Review of Smart Contract and DeFi Security: Vulnerability Detection and Automated Repair.,2023,CoRR,https://doi.org/10.48550/arXiv.2309.02391
Ethereum Smart Contract Analysis Tools: A Systematic Review.,2022,IEEE Access,https://doi.org/10.1109/ACCESS.2022.3169902
A survey: Making &quot;Smart Contracts&quot; really smart.,2021,Trans. Emerg. Telecommun. Technol.,https://doi.org/10.1002/ett.4338
"A systematic literature review of blockchain and smart contract development: Techniques, tools, and open challenges.",2021,J. Syst. Softw.,https://doi.org/10.1016/j.jss.2020.110891
"A comprehensive survey on smart contract construction and execution: paradigms, tools, and systems.",2021,Patterns,https://doi.org/10.1016/j.patter.2020.100179
An Empirical Evaluation of the Effectiveness of Smart Contract Verification Tools.,2021,PRDC,https://doi.org/10.1109/PRDC53464.2021.00013
"A Comprehensive Survey on Smart Contract Construction and Execution: Paradigms, Tools and Systems.",2020,CoRR,https://arxiv.org/abs/2008.13413
A Survey of Tools for Analyzing Ethereum Smart Contracts.,2019,DAPPCON,https://doi.org/10.1109/DAPPCON.2019.00018
Smarter smart contract development tools.,2019,WETSEB@ICSE,https://doi.org/10.1109/WETSEB.2019.00013
ReviewChain: Smart Contract Based Review System with Multi-Blockchain Gateway.,2018,iThings/GreenCom/CPSCom/SmartData,https://doi.org/10.1109/Cybermatics_2018.2018.00256
A review of smart contract adoption in agriculture and food industry.,2024,Comput. Electron. Agric.,https://doi.org/10.1016/j.compag.2024.109061
Cross-Chain Smart Contract Invocations: A Systematic Multi-Vocal Literature Review.,2024,ACM Comput. Surv.,https://doi.org/10.1145/3638045
"On Identity, Transaction, and Smart Contract Privacy on Permissioned and Permissionless Blockchain: A Comprehensive Survey.",2024,ACM Comput. Surv.,https://doi.org/10.1145/3676164
A Survey of Ethereum Smart Contract Security: Attacks and Detection.,2024,Distributed Ledger Technol. Res. Pract.,https://doi.org/10.1145/3643895
A fly in the ointment: an empirical study on the characteristics of Ethereum smart contract code weaknesses.,2024,Empir. Softw. Eng.,https://doi.org/10.1007/s10664-023-10398-5
The role of ontologies in smart contracts: A systematic literature review.,2024,J. Ind. Inf. Integr.,https://doi.org/10.1016/j.jii.2024.100630
A comprehensive survey of smart contract security: State of the art and research directions.,2024,J. Netw. Comput. Appl.,https://doi.org/10.1016/j.jnca.2024.103882
Vulnerability detection techniques for smart contracts: A systematic literature review.,2024,J. Syst. Softw.,https://doi.org/10.1016/j.jss.2024.112160
Digital forensic framework for smart contract vulnerabilities using ensemble models.,2024,Multim. Tools Appl.,https://doi.org/10.1007/s11042-023-17308-3
Static Application Security Testing (SAST) Tools for Smart Contracts: How Far Are We?,2024,Proc. ACM Softw. Eng.,https://doi.org/10.1145/3660772
Functional suitability assessment of smart contracts: A survey and first proposal.,2024,J. Softw. Evol. Process.,https://doi.org/10.1002/smr.2636
Deductive verification of smart contracts with Dafny.,2024,Int. J. Softw. Tools Technol. Transf.,https://doi.org/10.1007/s10009-024-00738-1
A Survey on Security Analysis Methods of Smart Contracts.,2024,IEEE Trans. Serv. Comput.,https://doi.org/10.1109/TSC.2024.3463394
Smart contract: a survey towards extortionate vulnerability detection and security enhancement.,2024,Wirel. Networks,https://doi.org/10.1007/s11276-023-03587-z
An Empirical Study of Integer Overflow Detection and False Positive Analysis in Smart Contracts.,2024,BDIOT,https://doi.org/10.1145/3697355.3697396
Events Industry in the Web 3.0 Era: Empirical Analysis of Smart Contract Applications from China.,2024,ICEME,https://doi.org/10.1145/3691422.3691484
Smart Contract and DeFi Security Tools: Do They Meet the Needs of Practitioners?,2024,ICSE,https://doi.org/10.1145/3597503.3623302
Revealing Hidden Threats: An Empirical Study of Library Misuse in Smart Contracts.,2024,ICSE,https://doi.org/10.1145/3597503.3623335
Empirical Study of Move Smart Contract Security: Introducing MoveScan for Enhanced Analysis.,2024,ISSTA,https://doi.org/10.1145/3650212.3680391
Evaluating the Vulnerability Detection Efficacy of Smart Contracts Analysis Tools.,2024,SAFECOMP,https://doi.org/10.1007/978-3-031-68606-1_13
Unity is Strength: Enhancing Precision in Reentrancy Vulnerability Detection of Smart Contract Analysis Tools.,2024,CoRR,https://doi.org/10.48550/arXiv.2402.09094
Vulnerabilities of smart contracts and mitigation schemes: A Comprehensive Survey.,2024,CoRR,https://doi.org/10.48550/arXiv.2403.19805
